Date,Holiday,Public,labor force,employment,unemployment,unemployment rate,Area,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,TOTAL,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September
2010-01-01,New Year's Day,False,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,January,0.0,10.0,9.0,0.0,10.0,3.0,0.0,17.0,28.0,77.0,10.9,0.0,0.0,3.3,-4.4,3.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-02,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,January,0.0,3.0,7.0,1.0,7.0,2.0,1.0,20.0,23.0,64.0,0.0,0.0,0.0,6.7,-3.3,-3.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-03,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,January,0.0,5.0,2.0,0.0,11.0,7.0,0.0,15.0,8.0,48.0,0.0,0.0,0.0,-2.2,-8.9,-8.9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-04,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,January,0.0,4.0,7.0,0.0,9.0,9.0,0.0,21.0,19.0,69.0,0.0,0.0,0.0,-2.8,-8.9,-3.9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-05,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,January,0.0,3.0,12.0,0.0,5.0,9.0,1.0,20.0,20.0,70.0,0.0,0.0,0.0,0.6,-3.9,-3.3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-06,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,January,0.0,5.0,3.0,0.0,5.0,9.0,0.0,7.0,15.0,44.0,0.0,0.0,0.0,1.1,-3.3,-0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-07,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,January,1.0,6.0,4.0,0.0,13.0,13.0,0.0,20.0,22.0,79.0,0.0,0.0,0.0,2.8,-2.2,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-08,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,January,1.0,7.0,11.0,0.0,6.0,10.0,0.0,14.0,14.0,63.0,2.3,38.0,0.0,2.8,-2.2,-2.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-09,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,January,0.0,5.0,2.0,0.0,11.0,6.0,0.0,16.0,15.0,55.0,0.0,0.0,0.0,-1.7,-5.6,-5.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-10,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,January,0.0,8.0,5.0,1.0,8.0,3.0,1.0,14.0,8.0,48.0,0.0,0.0,0.0,1.7,-7.2,-6.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-11,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,January,0.0,5.0,8.0,0.0,12.0,10.0,1.0,22.0,19.0,77.0,0.0,0.0,0.0,-1.1,-7.2,-7.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-12,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,January,0.0,7.0,3.0,1.0,4.0,5.0,0.0,15.0,16.0,51.0,0.0,0.0,0.0,1.7,-7.2,-2.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-13,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,January,0.0,5.0,10.0,2.0,13.0,6.0,0.0,15.0,27.0,78.0,0.0,0.0,0.0,1.1,-3.9,-1.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-14,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,January,0.0,0.0,8.0,0.0,7.0,4.0,0.0,14.0,16.0,49.0,0.0,0.0,0.0,5.6,-5.6,-4.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-15,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,January,0.0,6.0,10.0,0.0,20.0,9.0,0.0,26.0,22.0,93.0,0.0,0.0,0.0,10.0,-4.4,-2.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-16,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,January,0.0,9.0,13.0,0.0,9.0,13.0,0.0,20.0,18.0,82.0,0.0,0.0,0.0,13.3,-2.8,-1.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-17,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,January,0.0,7.0,5.0,1.0,10.0,6.0,0.0,11.0,10.0,50.0,12.7,0.0,0.0,10.6,-1.1,3.9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-18,Martin Luther King Jr. Day,False,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,January,0.0,8.0,6.0,0.0,11.0,8.0,0.0,20.0,18.0,71.0,16.0,0.0,0.0,10.6,-1.1,5.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-19,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,January,1.0,12.0,14.0,0.0,9.0,14.0,0.0,4.0,25.0,79.0,0.0,0.0,0.0,12.8,-1.1,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-20,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,January,0.0,7.0,13.0,1.0,7.0,16.0,1.0,11.0,24.0,80.0,0.3,0.0,0.0,14.4,0.6,1.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-21,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,January,0.0,4.0,11.0,0.0,5.0,9.0,0.0,17.0,17.0,63.0,0.0,0.0,0.0,6.7,-2.8,-2.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-22,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,January,1.0,6.0,13.0,0.0,14.0,12.0,0.0,20.0,22.0,88.0,2.3,0.0,0.0,6.1,-2.8,2.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-23,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,January,0.0,10.0,10.0,0.0,11.0,8.0,1.0,23.0,28.0,91.0,0.0,0.0,0.0,6.1,-2.2,-1.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-24,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,January,0.0,10.0,11.0,0.0,14.0,11.0,1.0,25.0,9.0,81.0,0.0,0.0,0.0,7.8,-1.1,2.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-25,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,January,0.0,4.0,7.0,0.0,15.0,14.0,0.0,19.0,22.0,81.0,9.4,0.0,0.0,16.1,2.2,16.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-26,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,January,0.0,5.0,10.0,0.0,7.0,6.0,0.0,21.0,22.0,71.0,0.0,0.0,0.0,18.9,2.2,3.9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-27,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,January,0.0,7.0,13.0,1.0,11.0,16.0,0.0,19.0,24.0,91.0,0.0,0.0,0.0,6.7,-2.2,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-28,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,January,0.0,7.0,10.0,0.0,9.0,8.0,1.0,11.0,19.0,65.0,0.0,0.0,0.0,6.7,-1.7,2.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-29,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,January,0.0,2.0,18.0,0.0,14.0,6.0,0.0,9.0,22.0,71.0,0.0,0.0,0.0,11.7,-7.2,-7.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-30,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,January,0.0,9.0,5.0,0.0,5.0,5.0,0.0,18.0,15.0,57.0,0.0,0.0,0.0,-3.3,-7.2,-6.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-01-31,,True,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,January,0.0,1.0,6.0,0.0,3.0,4.0,0.0,14.0,10.0,38.0,8.6,127.0,0.0,-6.1,-12.2,-10.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-02-01,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,February,0.0,4.0,8.0,1.0,5.0,2.0,1.0,15.0,19.0,55.0,0.0,0.0,76.0,0.6,-10.0,-2.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-02,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,February,0.0,2.0,10.0,0.0,7.0,6.0,0.0,8.0,20.0,53.0,0.0,0.0,76.0,3.9,-6.7,-1.7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-03,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,February,0.0,6.0,6.0,1.0,12.0,5.0,0.0,20.0,23.0,73.0,7.9,112.0,102.0,4.4,-1.7,0.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-04,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,February,0.0,7.0,13.0,0.0,7.0,11.0,0.0,16.0,27.0,81.0,0.0,0.0,25.0,6.1,-1.7,0.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-05,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,February,0.0,4.0,12.0,0.0,11.0,5.0,0.0,16.0,14.0,62.0,0.0,0.0,25.0,6.1,-1.7,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-06,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,February,0.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,16.0,0.0,0.0,0.0,6.1,-1.7,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-07,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,February,0.0,2.0,4.0,0.0,4.0,4.0,0.0,5.0,8.0,27.0,0.0,0.0,0.0,6.1,-12.2,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-08,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,February,0.0,6.0,2.0,0.0,3.0,3.0,0.0,5.0,10.0,29.0,0.0,0.0,533.0,6.1,-12.2,-3.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-09,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,February,0.0,10.0,5.0,0.0,5.0,7.0,0.0,10.0,8.0,45.0,0.0,0.0,483.0,1.7,-9.4,-4.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-10,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,February,0.0,1.0,4.0,0.0,4.0,3.0,0.0,4.0,4.0,20.0,0.0,0.0,0.0,2.8,-7.2,-6.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
