DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Friday,January,0.0,10.0,9.0,0.0,10.0,3.0,0.0,17.0,28.0
Saturday,January,0.0,3.0,7.0,1.0,7.0,2.0,1.0,20.0,23.0
Sunday,January,0.0,5.0,2.0,0.0,11.0,7.0,0.0,15.0,8.0
Monday,January,0.0,4.0,7.0,0.0,9.0,9.0,0.0,21.0,19.0
Tuesday,January,0.0,3.0,12.0,0.0,5.0,9.0,1.0,20.0,20.0
Wednesday,January,0.0,5.0,3.0,0.0,5.0,9.0,0.0,7.0,15.0
Thursday,January,1.0,6.0,4.0,0.0,13.0,13.0,0.0,20.0,22.0
Friday,January,1.0,7.0,11.0,0.0,6.0,10.0,0.0,14.0,14.0
Saturday,January,0.0,5.0,2.0,0.0,11.0,6.0,0.0,16.0,15.0
Sunday,January,0.0,8.0,5.0,1.0,8.0,3.0,1.0,14.0,8.0
Monday,January,0.0,5.0,8.0,0.0,12.0,10.0,1.0,22.0,19.0
Tuesday,January,0.0,7.0,3.0,1.0,4.0,5.0,0.0,15.0,16.0
Wednesday,January,0.0,5.0,10.0,2.0,13.0,6.0,0.0,15.0,27.0
Thursday,January,0.0,0.0,8.0,0.0,7.0,4.0,0.0,14.0,16.0
Friday,January,0.0,6.0,10.0,0.0,20.0,9.0,0.0,26.0,22.0
Saturday,January,0.0,9.0,13.0,0.0,9.0,13.0,0.0,20.0,18.0
Sunday,January,0.0,7.0,5.0,1.0,10.0,6.0,0.0,11.0,10.0
Monday,January,0.0,8.0,6.0,0.0,11.0,8.0,0.0,20.0,18.0
Tuesday,January,1.0,12.0,14.0,0.0,9.0,14.0,0.0,4.0,25.0
Wednesday,January,0.0,7.0,13.0,1.0,7.0,16.0,1.0,11.0,24.0
Thursday,January,0.0,4.0,11.0,0.0,5.0,9.0,0.0,17.0,17.0
Friday,January,1.0,6.0,13.0,0.0,14.0,12.0,0.0,20.0,22.0
Saturday,January,0.0,10.0,10.0,0.0,11.0,8.0,1.0,23.0,28.0
Sunday,January,0.0,10.0,11.0,0.0,14.0,11.0,1.0,25.0,9.0
Monday,January,0.0,4.0,7.0,0.0,15.0,14.0,0.0,19.0,22.0
Tuesday,January,0.0,5.0,10.0,0.0,7.0,6.0,0.0,21.0,22.0
