Date,labor force,employment,unemployment,unemployment rate,Area
2010-01-01,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-02,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-03,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-04,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-05,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-06,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-07,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-08,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-09,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-10,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-11,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-12,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-13,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-14,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-15,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-16,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-17,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-18,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-19,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-20,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-21,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-22,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-23,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-24,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-25,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-26,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-27,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-28,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-29,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-30,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-01-31,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-01,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-02,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-03,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-04,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-05,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-06,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-07,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-08,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-09,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-10,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-11,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-12,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-13,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-14,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-15,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-16,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-17,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-18,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-19,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-20,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010-02-21,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
