Date,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-01-01,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-02,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-03,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-04,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-05,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-06,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-07,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-08,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-09,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-10,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-11,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-12,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-13,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-14,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-15,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-16,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-17,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-18,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-19,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-20,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-21,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-22,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-23,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-24,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-25,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-26,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-27,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-28,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-29,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-30,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-31,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-02-01,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-02,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-03,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-04,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-05,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-06,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-07,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-08,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-09,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-10,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-11,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-12,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-13,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
