date,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-01-01,Friday,January,0.0,10.0,9.0,0.0,10.0,3.0,0.0,17.0,28.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-02,Saturday,January,0.0,3.0,7.0,1.0,7.0,2.0,1.0,20.0,23.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-03,Sunday,January,0.0,5.0,2.0,0.0,11.0,7.0,0.0,15.0,8.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-04,Monday,January,0.0,4.0,7.0,0.0,9.0,9.0,0.0,21.0,19.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-05,Tuesday,January,0.0,3.0,12.0,0.0,5.0,9.0,1.0,20.0,20.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-06,Wednesday,January,0.0,5.0,3.0,0.0,5.0,9.0,0.0,7.0,15.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-07,Thursday,January,1.0,6.0,4.0,0.0,13.0,13.0,0.0,20.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-08,Friday,January,1.0,7.0,11.0,0.0,6.0,10.0,0.0,14.0,14.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-09,Saturday,January,0.0,5.0,2.0,0.0,11.0,6.0,0.0,16.0,15.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-10,Sunday,January,0.0,8.0,5.0,1.0,8.0,3.0,1.0,14.0,8.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-11,Monday,January,0.0,5.0,8.0,0.0,12.0,10.0,1.0,22.0,19.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-12,Tuesday,January,0.0,7.0,3.0,1.0,4.0,5.0,0.0,15.0,16.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-13,Wednesday,January,0.0,5.0,10.0,2.0,13.0,6.0,0.0,15.0,27.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-14,Thursday,January,0.0,0.0,8.0,0.0,7.0,4.0,0.0,14.0,16.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-15,Friday,January,0.0,6.0,10.0,0.0,20.0,9.0,0.0,26.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-16,Saturday,January,0.0,9.0,13.0,0.0,9.0,13.0,0.0,20.0,18.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-17,Sunday,January,0.0,7.0,5.0,1.0,10.0,6.0,0.0,11.0,10.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-18,Monday,January,0.0,8.0,6.0,0.0,11.0,8.0,0.0,20.0,18.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-19,Tuesday,January,1.0,12.0,14.0,0.0,9.0,14.0,0.0,4.0,25.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-20,Wednesday,January,0.0,7.0,13.0,1.0,7.0,16.0,1.0,11.0,24.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-21,Thursday,January,0.0,4.0,11.0,0.0,5.0,9.0,0.0,17.0,17.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-22,Friday,January,1.0,6.0,13.0,0.0,14.0,12.0,0.0,20.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-23,Saturday,January,0.0,10.0,10.0,0.0,11.0,8.0,1.0,23.0,28.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
