Area,Year,Month,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,1.0,"2,375,218","2,316,020","59,198",2.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,2.0,"2,377,405","2,318,021","59,384",2.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,3.0,"2,378,944","2,317,360","61,584",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,4.0,"2,383,339","2,316,783","66,556",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,5.0,"2,391,546","2,321,210","70,336",2.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,6.0,"2,397,798","2,324,976","72,822",3.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,7.0,"2,401,492","2,324,469","77,023",3.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,8.0,"2,405,339","2,322,780","82,559",3.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,9.0,"2,406,206","2,320,000","86,206",3.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,10.0,"2,404,983","2,315,501","89,482",3.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,11.0,"2,405,648","2,311,071","94,577",3.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990.0,12.0,"2,406,664","2,308,688","97,976",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1991.0,1.0,"2,407,435","2,306,853","100,582",4.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1991.0,2.0,"2,409,905","2,305,376","104,529",4.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1991.0,3.0,"2,413,892","2,307,040","106,852",4.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1991.0,4.0,"2,416,841","2,308,334","108,507",4.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1991.0,5.0,"2,419,478","2,308,305","111,173",4.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1991.0,6.0,"2,424,003","2,311,548","112,455",4.6,11.0,47900.0
