year,month,labor force,employment,unemployment,unemployment rate,Area
2010,Jan,3097652,2884050,213602,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Feb,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Mar,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Apr,3140894,2948976,191918,6.1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,May,3153116,2955644,197472,6.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Jun,3173276,2968534,204742,6.5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Jul,3210420,3004534,205886,6.4,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Aug,3170006,2969718,200288,6.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Sep,3162578,2967976,194602,6.2,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Oct,3162283,2971549,190734,6.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Nov,3163810,2971980,191830,6.1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2010,Dec,3161774,2975279,186495,5.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Jan,3171787,2970129,201658,6.4,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Feb,3173689,2974579,199110,6.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Mar,3184403,2990856,193547,6.1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Apr,3181279,2998034,183245,5.8,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,May,3187534,2994280,193254,6.1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Jun,3210808,3001169,209639,6.5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Jul,3239664,3034800,204864,6.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
2011,Aug,3209131,3005266,203865,6.4,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
